date,zone,ndvi,ndvi_seasonal_dev,fire_count,anomaly_score,risk_score,risk_level
2020-12-28,central_india,0.22192175198166017,-0.11110543473544457,1722,-0.5638561176943907,72.5,HIGH
2021-01-11,central_india,0.5685372050947927,0.23092996783736847,1722,-0.5810642767920017,37.4,MODERATE
2021-01-18,central_india,0.13682358409748438,-0.20078365315993982,1722,-0.6206072522359459,87.7,CRITICAL
2021-02-01,central_india,0.5910003612403275,0.2659931801854084,1722,-0.6117306611086702,38.4,MODERATE
2021-02-08,central_india,0.49585822565485616,0.17085104459993705,1722,-0.5375764178033642,36.5,MODERATE
2021-02-22,central_india,0.10410150016366254,-0.22090568089125656,1722,-0.6355282939131311,90.6,CRITICAL
2021-03-01,central_india,0.20265640043999414,-0.032246125480628995,1722,-0.5264838956621841,63.5,HIGH
2021-04-05,central_india,0.30911471651583944,0.08624179140880303,1722,-0.5133357151656743,50.7,HIGH
2021-04-26,central_india,0.2656607986518548,0.04278787354481842,1722,-0.4977136440992863,53.7,HIGH
2021-05-17,central_india,0.27851023765707533,0.02289507588297801,1722,-0.47447792408884076,52.0,HIGH
2021-06-21,central_india,0.3339433943988019,0.09692104666818124,1722,-0.4587883262032363,47.0,MODERATE
2021-10-04,central_india,0.5319599218138727,0.1287938167722319,1722,-0.5168368880516513,35.5,MODERATE
2021-10-25,central_india,0.5113702508426715,0.10820414580103066,1722,-0.4770699542637408,34.3,MODERATE
2021-11-15,central_india,0.5466804777920415,0.17747831848134216,1722,-0.4935564270845037,34.8,MODERATE
2021-11-29,central_india,0.5092631558067371,0.1400609964960377,1722,-0.4804878650432761,34.4,MODERATE
2021-12-06,central_india,0.5609373611249486,0.2279101744078439,1722,-0.5237809448098472,35.7,MODERATE
2021-12-13,central_india,0.23756534275607158,-0.09546184396103316,1722,-0.5424487390307912,68.7,HIGH
2021-12-20,central_india,0.3026178406834517,-0.03040934603365303,1722,-0.49872584863141484,54.4,HIGH
2021-12-27,central_india,0.24619370307434116,-0.08683348364276358,1722,-0.5132340044540784,66.1,HIGH
2022-01-10,central_india,0.4223366068378704,0.08472936958044619,1722,-0.49724304902192207,41.1,MODERATE
2022-01-24,central_india,0.3127762489201547,-0.02483098833726949,1722,-0.4722336374190636,52.1,HIGH
2022-01-31,central_india,0.2894696661322788,-0.048137571125145384,1722,-0.43760112145201774,55.7,HIGH
2022-02-07,central_india,0.3744961128670529,0.04948893181213382,1722,-0.45599360041833803,43.7,MODERATE
2022-02-14,central_india,0.3589982475546417,0.03399106649972261,1722,-0.44860934530769087,44.7,MODERATE
2022-02-21,central_india,0.22949288578248986,-0.09551429527242924,1722,-0.45351643323364377,66.7,HIGH
2022-02-28,central_india,0.24025235602100592,-0.08475482503391318,1722,-0.4512306415075514,64.5,HIGH
2022-03-07,central_india,0.23746783715522957,0.002565311234606432,1722,-0.42508648720287867,53.8,HIGH
2022-03-14,central_india,0.19463820317842817,-0.04026432274219496,1722,-0.43614002119558737,62.3,HIGH
2022-03-21,central_india,0.26273076592824013,0.027828240007616994,1722,-0.4426202470271571,52.3,HIGH
2022-03-28,central_india,0.21263322092901915,-0.022269304991603983,1722,-0.4238916745248681,58.4,HIGH
2022-04-04,central_india,0.21269925814948948,-0.010173666957546929,1722,-0.4499171155331228,57.7,HIGH
2022-04-18,central_india,0.19759846759281174,-0.025274457514224663,1722,-0.43848565357517355,60.4,HIGH
2022-04-25,central_india,0.24254691022093602,0.019673985113899617,1722,-0.44717871142845017,54.0,HIGH
2022-05-02,central_india,0.32650364968338974,0.07088848790929242,1722,-0.45935702283094637,47.7,MODERATE
2022-05-09,central_india,0.23080835308490186,-0.024806808689195464,1722,-0.4183587925825752,57.1,HIGH
2022-05-16,central_india,0.2316703285765049,-0.023944833197592413,1722,-0.4147747804200092,56.8,HIGH
2022-05-23,central_india,0.16284490146729624,-0.09277026030680108,1722,-0.43625521754023444,69.2,HIGH
2022-05-30,central_india,0.17987623976038772,-0.0757389220137096,1722,-0.42333244749593296,66.8,HIGH
2022-09-19,central_india,0.42116463532597365,-0.020416166021212212,1722,-0.507550508282802,44.0,MODERATE
2022-10-10,central_india,0.3690590793155804,-0.03410702572606045,1722,-0.44707332882626705,48.0,MODERATE
2022-10-17,central_india,0.4191401408010747,0.015974035759433847,1722,-0.4601143794345025,40.3,MODERATE
2022-10-24,central_india,0.43941807902990565,0.036251973988264796,1722,-0.4678703402263305,38.9,MODERATE
2022-10-31,central_india,0.4043616701983486,0.0011955651567077674,1722,-0.46328390857506596,41.5,MODERATE
2022-11-14,central_india,0.26719341167589045,-0.10200874763480894,1722,-0.46745968002235944,64.9,HIGH
2022-11-21,central_india,0.3292272758949128,-0.03997488341578659,1722,-0.4628953599029277,52.3,HIGH
2022-11-28,central_india,0.2750194626475522,-0.09418269666314716,1722,-0.4399126699999365,62.5,HIGH
2022-12-05,central_india,0.35421110699430636,0.021183920277201618,1722,-0.4632726920261944,45.6,MODERATE
2022-12-19,central_india,0.30047213720527133,-0.03255504951183341,1722,-0.45823036231003383,53.6,HIGH
2022-12-26,central_india,0.19576078743350125,-0.13726639928360349,1722,-0.48484808953907005,75.4,CRITICAL
2023-01-02,central_india,0.486906113530286,0.1492988762728618,1722,-0.5638048621054169,38.0,MODERATE
2023-01-09,central_india,0.36175951760694264,0.02415228034951844,1722,-0.47329225770181726,45.3,MODERATE
2023-01-16,central_india,0.16016768575234377,-0.17743955150508042,1722,-0.5286384683409753,82.2,CRITICAL
2023-01-23,central_india,0.2681873808812639,-0.06941985637616027,1722,-0.44811191424575375,60.3,HIGH
2023-01-30,central_india,0.2733330594021105,-0.0642741778553137,1722,-0.42817683564808795,58.7,HIGH
2023-02-06,central_india,0.26278054453014443,-0.06222663652477467,1722,-0.41758499935624116,59.0,HIGH
2023-02-13,central_india,0.24680743436124697,-0.07819974669367213,1722,-0.41625453334648355,62.1,HIGH
2023-02-20,central_india,0.22773240626214927,-0.09727477479276983,1722,-0.4155123525855067,65.9,HIGH
2023-02-27,central_india,0.22739417021974784,-0.09761301083517127,1722,-0.42435537418686964,66.3,HIGH
2023-03-06,central_india,0.21105959940276586,-0.02384292651785727,1722,-0.4180712169901644,58.5,HIGH
2023-03-13,central_india,0.19463537929490232,-0.04026714662572081,1722,-0.40998614952241075,61.6,HIGH
2023-03-20,central_india,0.19964307086354463,-0.035259455057078504,1722,-0.4276492750093488,61.1,HIGH
2023-03-27,central_india,0.15085388709977332,-0.08404863882084981,1722,-0.45513850803043815,68.7,HIGH
2023-04-03,central_india,0.13964237558876583,-0.08323054951827058,1722,-0.46290016785012816,68.9,HIGH
2023-04-10,central_india,0.17815530080536388,-0.04471762430167253,1722,-0.4507899682956503,63.9,HIGH
2023-04-17,central_india,0.14129096157229534,-0.08158196353474106,1722,-0.4888873902255093,69.5,HIGH
2023-04-24,central_india,0.29517971702774337,0.07230679192070696,1722,-0.5005156144041356,51.4,HIGH
2023-05-08,central_india,0.2341655802302837,-0.02144958154381363,1722,-0.43046240761494353,56.8,HIGH
2023-05-15,central_india,0.19795341573663916,-0.05766174603745816,1722,-0.4246398805294702,63.8,HIGH
2023-05-22,central_india,0.2560225665435676,0.0004074047694702654,1722,-0.4187468109354443,52.1,HIGH
2023-05-29,central_india,0.18286653659439198,-0.07274862517970535,1722,-0.42815868062126916,66.6,HIGH
2023-06-05,central_india,0.19087334073025908,-0.046149007000361564,1722,-0.4373433633541809,63.4,HIGH
2023-06-12,central_india,0.13933899751215156,-0.09768335021846908,1722,-0.47808860968686234,71.1,HIGH
2023-08-28,central_india,0.34280611721363763,0.0,1722,-0.5002840054701279,47.6,MODERATE
2023-10-02,central_india,0.2885650629528766,-0.11460104208876426,1722,-0.46368773931525287,64.6,HIGH
2023-10-09,central_india,0.3762537618055542,-0.026912343236086655,1722,-0.45456353536530236,46.8,MODERATE
2023-10-16,central_india,0.23510753263837375,-0.1680585724032671,1722,-0.5064153839672889,76.6,CRITICAL
2023-10-23,central_india,0.39290339347468906,-0.010262711566951799,1722,-0.46902235216490945,43.9,MODERATE
2023-10-30,central_india,0.2693310994792121,-0.13383500556242878,1722,-0.4574469159468961,68.2,HIGH
2023-11-06,central_india,0.34494659693589863,-0.024255562374800754,1722,-0.451816042278372,48.9,MODERATE
2023-11-13,central_india,0.2585103397250862,-0.1106918195856132,1722,-0.45569131542850927,66.3,HIGH
2023-11-27,central_india,0.34519245144882915,-0.024009707861870233,1722,-0.45108264626781897,48.8,MODERATE
